
 100 100	316
 200 200	276
 300 300	302
 400 400	328
 500 500	488
 600 600	458
 700 700	524
 800 800	483
 900 900	403
 1000 1000	334
 1100 1100	541
 1200 1200	476
 1300 1300	310
 1400 1400	318
 1500 1500	442
 1600 1600	374
 1700 1700	315
 1800 1800	312
 1900 1900	400
 2000 2000	484
 2100 2100	337
 2200 2200	283
 2300 2300	467
 2400 2400	579
 2500 2500	427
 2600 2600	431
 2700 2700	416
 2800 2800	494
 2900 2900	341
 3000 3000	415
 3100 3100	458
 3200 3200	657
 3300 3300	592
 3400 3400	433
 3500 3500	454
 3600 3600	551
 3700 3700	444
 3800 3800	366
 3900 3900	436
 4000 4000	443
 4100 4100	834
 4200 4200	415
 4300 4300	624
 4400 4400	475
 4500 4500	470
 4600 4600	357
 4700 4700	898
 4800 4800	369
 4900 4900	414
 5000 5000	441
 5100 5100	528
 5200 5200	400
 5300 5300	422
 5400 5400	328
 5500 5500	405
 5600 5600	523
 5700 5700	450
 5800 5800	609
 5900 5900	451
 6000 6000	390
 6100 6100	376
 6200 6200	354
 6300 6300	372
 6400 6400	367
 6500 6500	408
 6600 6600	358
 6700 6700	425
 6800 6800	359
 6900 6900	574
 7000 7000	497
 7100 7100	304
 7200 7200	362
 7300 7300	460
 7400 7400	574
 7500 7500	339
 7600 7600	359
 7700 7700	340
 7800 7800	323
 7900 7900	325
 8000 8000	437
 8100 8100	495
 8200 8200	385
 8300 8300	429
 8400 8400	445
 8500 8500	820
 8600 8600	434
 8700 8700	422
 8800 8800	529
 8900 8900	451
 9000 9000	419
 9100 9100	327
 9200 9200	512
 9300 9300	362
 9400 9400	394
 9500 9500	331
 9600 9600	393
 9700 9700	356
 9800 9800	725
 9900 9900	358
